Alert ID,SMARTS,ARTICLEID,PROPERTY,NAME,DESCRIPTION,PAGE,TABLE,LINE,COMMENT,SMARTS_DESCRIPTION,PUBMEDID,Publication
TA2428,[#8R1]1-[#7R1]-[#7R1]1,A27542,Extended Functional Groups (EFG),Oxadiaziridines,,-,-,-,"High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed)
",,26703557,"2015 Salmina, ES"
TA2429,[#8R1]1-[#8R1]-[#7R1]1,A27542,Extended Functional Groups (EFG),Dioxaziridines,,-,-,-,"High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed)
",,26703557,"2015 Salmina, ES"
TA2430,[#16X2R1]1-[#7R1]-[#7R1]1,A27542,Extended Functional Groups (EFG),Thiodiaziridines,,-,-,-,"High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed)
",,26703557,"2015 Salmina, ES"
TA2431,[#16X2R1]1-[#16X2R1]-[#7R1]1,A27542,Extended Functional Groups (EFG),Dithiaziridines,,-,-,-,"High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed)
",,26703557,"2015 Salmina, ES"
TA2432,[!#1!#6;R1]1-[!#6!#1;R1]=[!#6!#1;R1]1,A27542,Extended Functional Groups (EFG),Unsaturated three-membered heterocycles with three heteroatoms,A = any atom except carbon; a dashed line indicates any type of covalent bonds,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2433,[#7R1]1-[#7R1]=[#7R1]1,A27542,Extended Functional Groups (EFG),1H-Triazirene,,-,-,-,"High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed)
",,26703557,"2015 Salmina, ES"
TA2434,[#7R1]1=[#7R1]-[#8R1]1,A27542,Extended Functional Groups (EFG),Oxadiazirenes,,-,-,-,"High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed)
",,26703557,"2015 Salmina, ES"
TA2435,[#7R1]1=[#7R1]-[#16X2R1]1,A27542,Extended Functional Groups (EFG),Thiodiazirenes,,-,-,-,"High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed)
",,26703557,"2015 Salmina, ES"
TA2449,[!#6!#1;R1]1~[*R1]~[*R1]~[*R1]~1,A27542,Extended Functional Groups (EFG),Four-membered heterocycles,A = any atom except carbon; A1 = any atom; a dashed line indicates any type of covalent bonds,-,-,-,,,26703557,"2015 Salmina, ES"
TA2450,[!#6!#1;R1]1~[#6R1]~[#6R1]~[#6R1]~1,A27542,Extended Functional Groups (EFG),Four-membered heterocycles with one heteroatom,A = any atom except carbon; a dashed line indicates any type of covalent bonds,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2451,[!#6!#1;R1]1-[#6R1]-[#6R1]-[#6R1]-1,A27542,Extended Functional Groups (EFG),Saturated four-membered heterocycles with one heteroatom,A = any atom except carbon,-,-,-,"High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed)
",,26703557,"2015 Salmina, ES"
TA2452,[#7R1]1-[#6R1]-[#6R1]-[#6R1]-1,A27542,Extended Functional Groups (EFG),Azetidines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2453,[#8R1]1-[#6R1]-[#6R1]-[#6R1]-1,A27542,Extended Functional Groups (EFG),Oxetanes,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2454,[#16X2R1]1-[#6R1]-[#6R1]-[#6R1]-1,A27542,Extended Functional Groups (EFG),Thietanes,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
